Subject,School,Gender,SEN,Questionnaire,Age_months_1,Mum_EDU,higherSES,Monoling_exposure_MONTHS,L1PERCinput,ENGexposureTOT,ENGexposurePERC,EngCUMInput,EngCUMOutput,VOC_BPVS1,GRAMM_WordStruct1,VOC_mean_SYNOPP1,GRAMM_TROGshort1,age_MONTHS_2,VOC_BPVS_2,GRAMM_WordStruct_2,VOC_meanSYNOPP_2,GRAMM_TROGshort_2,Age_months_3,VOC_BPVS_3,GRAMM_WordStruct_3,VOC_meanSYNOPP_3,GRAMM_TROGshort_3
500408,d,F,NO,Y,65,4,3.1,0,0.28,65,0.72,45,52.5,92,17,13,37,71,90,19,14,28,77,101,24,18,33
500409,d,F,NO,Y,69,4,2,0,0.12,69,0.88,50.82,54.285,116,25,17.5,35,75,118,24,21,35,81,121,28,26,37
500410,d,M,NO,Y,66,4,NA,12,0.17,54,0.83,44.82,54,89,15,5.5,30,71,95,19,18,30,77,99,26,21.5,32
500411,d,F,NO,Y,66,4,3.1,24,0.26,42,0.74,31.08,32.76,68,17,10.5,28,71,80,24,15.5,32,77,89,24,16.5,36
500412,d,F,NO,Y,74,4,3.1,0,0.16,74,0.84,62.16,62.16,86,11,7,26,79,85,20,15.5,31,86,99,29,15,35
500501,e,M,NO,Y,69,4,4.3,0,0.25,69,0.75,51.75,60.375,89,21,12.5,34,76,98,24,19,29,81,104,24,22,35
500502,e,F,NO,Y,71,4,3.1,12,0.15,59,0.85,46.9625,46.9625,45,15,6,22,77,59,18,10,28,83,79,28,16,31
500503,e,F,NO,Y,64,2,9.1,18,0.52,46,0.48,21.36,21.36,64,15,2.5,17,70,82,16,8.5,23,76,72,19,14.5,22
500504,e,M,NO,Y,70,4,4.1,0,0.2,70,0.8,52,65,79,16,11.5,27,76,96,22,11.5,33,82,96,23,14.5,35
500505,e,F,NO,Y,67,2,12.2,48,0.49,19,0.51,8.925,14.7,57,12,4.5,25,73,81,18,10,31,79,94,22,17,31
500506,e,F,NO,Y,69,4,9.1,24,0.69,45,0.31,12.09,12.09,54,16,10.5,31,75,71,24,13,33,81,68,25,13.5,35
500507,e,F,NO,Y,74,3,5,6,0.6,68,0.4,26.2,36.025,72,17,12.5,30,80,87,22,16.5,32,86,90,25,18.5,31
500508,e,M,NO,Y,71,3,9.1,36,0.52,35,0.48,15.36,22.72,69,16,6.5,25,77,69,24,13.5,27,83,88,25,18.5,30
500509,e,F,NO,Y,65,4,NA,24,0.69,41,0.31,12.245,25.675,71,16,8,12,72,77,21,14.5,24,77,84,22,20,27
500601,f,F,NO,Y,65,0,12.2,24,0.28,41,0.72,29.52,36.9,80,13,9.5,21,70,93,12,15,24,76,95,20,20,25
500602,f,F,NO,Y,70,4,4.1,0,0.44,70,0.56,38.5,58.4375,69,19,15.5,22,75,69,19,17,31,81,86,22,16,34
500603,f,M,NO,N,72,NA,NA,NA,NA,NA,NA,NA,NA,84,27,13.5,33,78,92,25,15.5,31,83,116,23,22.5,35
500604,f,M,NO,Y,65,3,13.3,0,0.125,65,0.875,56.875,42.25,59,9,2.5,17,70,72,16,5.5,20,76,69,17,9,26
